ID	Diagnosis Name
951	Sarcoidosis
952	Sarcoma
953	Scheie Syndrome
954	Schistosomiasis
955	Schizophrenia
956	Scimitar Syndrome
957	Scleredema Adultorum
958	Scleroderma
959	Scleromyxedema
960	Sea-Blue Histiocyte Syndrome
961	Seborrheic Keratosis
962	Selective Antibody Deficiency with Normal Immunoglobulins
963	Seminoma
964	Septo-Optic Dysplasia
965	Severe Acute Respiratory Syndrome
966	Severe Combined Immunodeficiency
967	Sex Cord-Stromal Tumor
968	Sezary Syndrome
969	Short Rib-Polydactyly Syndrome
970	Shy-Drager Syndrome
971	Sialadenitis
972	Sialic Acid Storage Disease
973	Sickle Cell Disease
974	Silver-Russell Syndrome
975	Simultanagnosia
976	Sinus Histiocytosis
977	Sinus Histiocytosis with Massive Lymphadenopathy
978	Sjogren Syndrome
979	Sjogren-Larsson Syndrome
980	Skin Basal Cell Carcinoma
981	Skin Pigmentation Disorder
982	Sleep Apnea
983	Sly Syndrome
984	Small Intestinal Carcinoma
985	Smith-Lemli-Opitz Syndrome
986	Smoldering Myeloma
987	Spasmodic Torticollis
988	Speech Manifestations
989	Spherocytosis
990	Spinal Muscular Atrophy
991	Spinal Muscular Atrophy of Childhood
992	Spinocerebellar Ataxia
993	Squamous Cell Carcinoma
994	Staphylococcal Scalded Skin Syndrome
995	Stargardt Disease
996	Status Epilepticus
997	Stevens-Johnson Syndrome
998	Stiff Person Syndrome
999	Stromal Neoplasm
1000	Sturge-Weber Syndrome
1001	Subacute Sclerosing Panencephalitis
1002	Subcutaneous Panniculitis-Like T-Cell Lymphoma
1003	Subependymoma
1004	Subvalvular Aortic Stenosis
1005	Sudden Infant Death Syndrome
1006	SUNCT Syndrome
1007	Superior Mesenteric Artery Syndrome
1008	Superior Vena Cava Syndrome
1009	Supravalvular Aortic Stenosis
1010	Sweet Syndrome
1011	Swyer James Syndrome
1012	Syphilis
1013	Syringomyelia
1014	Systemic Mastocytosis
1015	Systemic Scleroderma
1016	Tabes Dorsalis
1017	Taeniasis
1018	Takayasu Arteritis
1019	Takotsubo Cardiomyopathy
1020	Tangier Disease
1021	Tarsal Tunnel Syndrome
1022	Tay-Sachs Disease
1023	T-Cell Large Granular Lymphocyte Leukemia
1024	Temporal Arteritis
1025	Testicular Neoplasm
1026	Tetanus
1027	Tetralogy of Fallot
1028	Thalamic Disease
1029	Thalassemia
1030	Thalassemia Major
1031	Thanatophoric Dysplasia
1032	Thoracic Outlet Syndrome
1033	Thrombocytopenia
1034	Thrombotic Thrombocytopenic Purpura
1035	Thyroglossal Duct Cyst
1036	Thyroid Dysgenesis
1037	Thyroid Gland Carcinoma
1038	Thyroid Hormone Resistance Syndrome
1039	Tissue
1040	Togaviridae Infection
1041	Tolosa-Hunt Syndrome
1042	Tourette Syndrome
1043	Toxic Epidermal Necrolysis
1044	Toxocariasis
1045	Tracheobronchomalacia
1046	Tracheobronchomegaly
1047	Tracheoesophageal Fistula
1048	Transient Global Amnesia
1049	Treacher Collins Syndrome
1050	Treponemal Infection
1051	Trichinosis
1052	Trichorhinophalangeal Syndrome Type II
1053	Trichothiodystrophy
1054	Tricuspid Atresia
1055	Trigger Finger Disorder
1056	Triploidy Syndrome
1057	Trismus
1058	Trisomy 12
1059	Trisomy 18
1060	Trisomy 8
1061	Trisomy 9
1062	Trophoblastic Tumor
1063	True Hermaphroditism
1064	Tuberculosis
1065	Tuberous Sclerosis
1066	Tularemia
1067	Turner Syndrome
1068	Type 1 Diabetes Mellitus
1069	Type 2 Diabetes Mellitus
1070	Ulcerative Colitis
1071	Uniparental Disomy
1072	Urachal Cyst
1073	Urinary System Disorder
1074	Urinary Tract Infection
1075	Urticaria Pigmentosa/Maculopapular Cutaneous Mastocytosis
1076	Usher Syndrome
1077	Uterine Corpus Cancer
1078	Uveomeningoencephalitic Syndrome
1079	Vaginal Carcinoma
1080	Vaginal Neoplasm
1081	Valvular Heart Disorder
1082	Variant Angina
1083	Varicose Vein
1084	Variegate Porphyria
1085	Vascular Access Graft Failure
1086	Vascular Dementia
1087	Vascular Disorder
1088	Vasculitis
1089	Ventricular Septal Defect
1090	Vesicoureteral Reflux
1091	VIP Producing Tumor
1092	Visceral Larva Migrans
1093	Vitamin A Deficiency
1094	Vitamin B6 Deficiency
1095	Von Hippel-Lindau Syndrome
1096	von Willebrand Disease
1097	"von Willebrand Disease, Type 3"
1098	Vulvar Carcinoma
1099	Waardenburg Syndrome
1100	Waldenstrom Macroglobulinemia
1101	Wallerian Degeneration
1102	Wandering Spleen
1103	Waterhouse-Friderichsen Syndrome
1104	Wegener Granulomatosis
1105	Weill-Marchesani Syndrome
1106	Wernicke-Korsakoff Syndrome
1107	West Syndrome
1108	Western Equine Encephalomyelitis
1109	Whipple Disease
1110	Whooping Cough
1111	Williams Syndrome
1112	Wilms Tumor
1113	Wilms Tumor-Aniridia-Genitourinary Anomalies-Mental Retardation Syndrome
1114	Wiskott-Aldrich Syndrome
1115	Wolff-Parkinson-White Syndrome
1116	Wolf-Hirschhorn Syndrome
1117	Wolfram Syndrome
1118	Wolman Disease
1119	Wound Complication
1120	Xeroderma Pigmentosum
1121	Xerophthalmia
1122	X-Linked Bulbar-Muscular Atrophy
1123	X-Linked Dominant Hypophosphatemic Rickets
1124	X-Linked Ichthyosis
1125	X-Linked Severe Combined Immunodeficiency
1126	XO Syndrome
1127	XXXY and XXXXY Syndrome
1128	XYY Syndrome
1129	Yaws
1130	Yellow Fever Virus Infection
1131	Yellow Nail Syndrome
1132	Yolk Sac Tumor
1133	Zellweger Syndrome
1134	Zollinger Ellison Syndrome
1135	Zygomycosis
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
